perception1,perception2,perception3,perception4,perception5,perception6,perception7,perception8,rl_trust_1,rl_trust_2,rl_trust_3,rl_trust_4,rl_trust_5,rl_trust_6,rl_trust_7,rl_trust_8,preference1,preference2,preference3,preference4,gender,education,status
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,1
